id,name,lat,lon,staff_email_domain,website,street,postcode,city,state
62,m&i-Fachkliniken Hohenurach (Akutklinik),48.5064833,9.3762711,fachkliniken-hohenurach.de,www.fachkliniken-hohenurach.de,Immanuel-Kant-Straße,72574,Bad Urach,Baden-Württemberg
63,Klinikum Leverkusen,51.0317792,7.0343144,klinikum-lev.de,www.klinikum-lev.de,Am Gesundheitspark,51375,Leverkusen,Nordrhein-Westfalen
64,Luisenklinik TK RZ,47.7370726,8.9771061,luisenklinik.de,www.luisenklinik.de,Strandbadstraße,78315,Radolfzell am Bodensee,Baden-Württemberg
65,Eilenriede Klinik Hannover,52.3955081,9.7464581,eilenriedeklinik.de,www.eilenriedeklinik.de,Lister Kirchweg,30163,Hannover,Niedersachsen
66,Danuvius Klinik GmbH,48.5184792,11.4971833,danuviusklinik.de,www.danuviusklinik.de,Preysingstr.,85049,Ingolstadt,Bayern
67,Facharztklinik Hamburg,53.5883283,9.9727691,facharztklinik-hamburg.de,www.facharztklinik-hamburg.de,Martinistraße,20251,Hamburg,Hamburg
68,Universitätsklinikum Erlangen,49.5954742,11.0254189,uk-erlangen.de,www.uk-erlangen.de,Maximiliansplatz,91054,Erlangen,Bayern
69,Pfalzklinikum für Psychiatrie,49.6304177,7.8143081,pfalzklinikum.de,www.pfalzklinikum.de,Albert-Schweitzer-Straße,67655,Kaiserslautern,Rheinland-Pfalz
70,ASKLEPIOS Fachklinikum Göttingen,51.5612749,9.9046376,asklepios.com,www.asklepios.com,Rosdorfer Weg,37081,Göttingen,Niedersachsen
71,ASKLEPIOS-ASB Klinik Radeberg,51.1233926,13.9304712,asklepios.com,www.asklepios.com/radeberg/,Pulsnitzer Str.,01454,Radeberg,Sachsen
72,"Kliniken Ostallgäu-Kaufbeuren, AöR des Landkreises Ostallgäu und der Stadt Kaufbeuren - Klinik Füssen",47.5668266,10.7045526,kliniken-oal-kf.de,www.kliniken-oal-kf.de,Stadtbleiche,87629,Füssen,Bayern
73,Rheinhessen-Fachklinik,50.0153919,8.239119,landeskrankenhaus.de,www.rheinhessen-fachklinik-alzey.de,Hartmühlenweg,55122,Mainz am Rhein,Rheinland-Pfalz
74,Diakonie Klinikum Neunkirchen gGmbH Kreuznacher Diakonie,49.8367828,7.863625,kreuznacherdiakonie.de,www.kreuznacherdiakonie.de,Brunnenstraße,66538,Neunkirchen,Saarland
75,Elisabeth-Krankenhaus Essen GmbH,51.4995123,7.0058575,contilia.de,www.contilia.de/einrichtungen/elisabeth-krankenhaus-essen.de,Klara-Kopp-Weg,45138,"Essen, Ruhr",Nordrhein-Westfalen
76,Klinik 2000,48.0238925,7.8144239,praxisklinik2000.com,www.praxisklinik2000.com,Wirthstr.,79110,Freiburg,Baden-Württemberg
77,Klinik Dr. Römer - Akutklinik für Psychosomatik und Psychotherapie,48.7362333,8.7321104,roemerklinik.de,www.klinik-dr-roemer.de,Altburger Weg,75365,Calw,Baden-Württemberg
78,Luisenklinik TK RZ,48.7712998,9.1721348,luisenklinik.de,www.luisenklinik.de,Strandbadstraße,78315,Radolfzell am Bodensee,Baden-Württemberg
79,Klinikum Stuttgart,48.7916756,9.1789558,klinikum-stuttgart.de,www.klinikum-stuttgart.de,Türlenstraße,70191,Stuttgart,Baden-Württemberg
80,Katholisches Klinikum Lünen/Werne,51.6188451,7.5180027,klinikum-luenen.de,www.klinikum-luenen.de,Altstadtstraße,44534,Lünen,Nordrhein-Westfalen
81,Universitätsklinikum Hamburg-Eppendorf (UKE),53.5907493,9.9746838,uke.de,www.uke.de,Martinistraße,20251,Hamburg,Hamburg
82,Charité Universitätsmedizin Berlin,52.5421518,13.342863,charite.de,www.charite.de,Augustenburger Platz,13353,Berlin,Berlin
83,Bürgerhospital und Clementine Kinderhospital,50.1304097,8.6862871,buergerhospital-ffm.de,www.buergerhospital-ffm.de,Nibelungenallee,60318,Frankfurt,Hessen
84,Vivantes Komfortklinik GmbH,52.5897365,13.3077982,vivantes.de,www.vivantes.de,Aroser Allee,13437,Berlin,Berlin
85,Frankfurter Rotkreuz-Kliniken,50.1198358,8.6882513,rotkreuzkliniken.de,www.rotkreuzkliniken.de,Scheffelstraße,60318,Frankfurt,Hessen
86,Sankt Katharinen Krankenhaus,50.1360938,8.7108513,sankt-katharinen-ffm.de,www.sankt-katharinen-ffm.de,Seckbacher Landstraße,60389,Frankfurt,Hessen
87,Berufsgenossenschaftliche Unfallklinik,50.1447874,8.708794,bgu-frankfurt.de,www.bgu-frankfurt.de,Friedberger Landstraße,60389,Frankfurt,Hessen
88,ASKLEPIOS Kliniken Langen-Seligenstadt GmbH,49.9983996,8.6840079,asklepios.com,www.asklepios.com/langen,Röntgenstraße,63225,Langen,Hessen
89,Robert-Bosch-Krankenhaus,48.8142575,9.1862984,rbk.de,www.rbk.de,Auerbachstraße,70376,Stuttgart,Baden-Württemberg
90,Klinik König-Ludwig-Haus,49.7822437,9.9485815,koenig-ludwig-haus.de,www.koenig-ludwig-haus.de,Brettreichstr.,97074,Würzburg,Bayern
91,Evangelisches Krankenhaus Kalk gGmbH,50.9412983,7.0093887,evkk.de,www.evkk.de,Buchforststraße,51103,Köln,Nordrhein-Westfalen
92,Helios Klinik Müllheim,47.8115859,7.6349902,helios-gesundheit.de,www.helios-gesundheit.de,Heliosweg,79379,Müllheim,Baden-Württemberg
93,Klinikum Dritter Orden,48.1657409,11.5050996,dritter-orden.de,www.dritter-orden.de,Menzinger Str.,80638,München,Bayern
94,Städtisches Klinikum Braunschweig,52.2747448,10.5037949,klinikum-braunschweig.de,www.klinikum-braunschweig.de,Celler Straße,38114,Braunschweig,Niedersachsen
95,Krankenhaus Leonberg,48.802829,9.0003844,klinikverbund-suedwest.de,www.klinikverbund-suedwest.de,Rutesheimer Straße,71229,Leonberg,Baden-Württemberg
96,Kliniken des Main-Taunus-Kreises GmbH,50.1508989,8.5145784,varisano.de,www.varisano.de/kliniken-mtk,Kronberger Straße,65812,Bad Soden,Hessen
97,Städtisches Krankenhaus Kiel GmbH,54.322936,10.1164429,krankenhaus-kiel.de,www.krankenhaus-kiel.de,Chemnitzstraße,24116,Kiel,Schleswig-Holstein
98,Krankenhaus Bad Oeynhausen,52.1935285,8.7974217,muehlenkreiskliniken.de,www.muehlenkreiskliniken.de,Wielandstraße,32545,Bad Oeynhausen,Nordrhein-Westfalen
99,St. Anna-Klinik,48.8072049,9.2303812,st-anna-klinik.de,www.st-anna-klinik.de,Obere Waiblinger Str.,70374,Stuttgart,Baden-Württemberg
100,Städtische Kliniken Mönchengladbach GmbH - Elisabeth-Krankenhaus Rheydt,51.1581384,6.4186197,sk-mg.de,www.sk-mg.de,Hubertusstraße,41239,Mönchengladbach,Nordrhein-Westfalen
101,Privatkrankenanstalt Wiesbaden,49.461705,12.4120378,asklepios.com,www.asklepios.com/wiesbaden/,Geisenheimer Straße,65197,Wiesbaden,Hessen
102,ASKLEPIOS Südpfalzkliniken,49.0861819,8.2008986,asklepios.com,www.asklepios.com,An Fronte Karl,76726,Germersheim,Rheinland-Pfalz
103,Helios Klinik Idstein,50.208746,8.2638589,helios-gesundheit.de,www.helios-gesundheit.de,Robert-Koch-Straße,65510,Idstein,Hessen
104,Klinikum der Stadt Ludwigshafen am Rhein gGmbH,49.48982,8.4258073,klilu.de,www.klilu.de,Bremserstraße,67063,Ludwigshafen am Rhein,Rheinland-Pfalz
105,Klinik St. Marienstift,52.1373597,11.6004457,st-marienstift.de,www.st-marienstift.de,Harsdorfer Straße,39110,Magdeburg,Sachsen-Anhalt
106,Privatklinik Dr. Amelung GmbH,50.1894528,8.4688336,klinik-amelung.de,www.klinik-amelung.de,Altkönigstraße,61462,Königstein,Hessen
107,Marien Hospital Dortmund-Hombruch,51.4785067,7.4421086,marien-hospital-dortmund.de,www.marien-hospital-dortmund.de,Gablonzstraße,44225,Dortmund,Nordrhein-Westfalen
108,GFO Klinik Langenfeld,50.8273822,6.9004652,gfo-online.de,www.kliniken-mettmann-sued.gfo-online.de,Klosterstraße,40764,Langenfeld (Rheinland),Nordrhein-Westfalen
109,Klinikum rechts der Isar der Technischen Universität München,48.1378637,11.6015429,tum.de,www.mri.tum.de,Biedersteiner Str.,80802,München,Bayern
110,Kliniken der Stadt Köln Standort Riehl,50.9627397,6.9664631,kliniken-koeln.de,www.kliniken-koeln.de,Amsterdamerstr.,50735,Köln,Nordrhein-Westfalen
111,Klinikum Wilhelmshaven gGmbH,53.5454757,8.0828256,klinikum-whv.de,www.klinikum-whv.de,Friedrich-Paffrath-Straße,26389,Wilhelmshaven,Niedersachsen
112,ASKLEPIOS Klinik St. Georg,53.559731,10.0180894,asklepios.com,www.asklepios.com/hamburg/sankt-georg/,Lohmühlenstraße,20099,Hamburg,Hamburg
113,MEDIAN Klinik Grünheide Fach-KH für neurolog. Früreha. Phase B,52.4239444,13.8131952,median-kliniken.de,www.median-kliniken.de,An der REHA-Klinik,15537,Grünheide (Mark),Brandenburg
114,Bethlehem Gesundheitszentrum Stolberg gGmbH,50.7727068,6.2289172,bethlehem.de,www.bethlehem.de,Steinfeldstraße,52222,Stolberg (Rheinland),Nordrhein-Westfalen
115,Helios Klinikum Wuppertal,51.2752817,7.1738834,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/wuppertal,Heusnerstraße,42283,Wuppertal,Nordrhein-Westfalen
116,Berufsgenossenschaftliche Kliniken Bergmannstrost Halle,51.4602457,11.9865819,bergmannstrost.de,www.bergmannstrost.com,Merseburger Straße,06112,Halle (Saale),Sachsen-Anhalt
117,Klinikum Hochsauerland GmbH,51.425983,7.9996734,klinikum-hochsauerland.de,www.klinikum-hochsauerland.de,Stolte Ley,59759,"Arnsberg, Westfalen",Nordrhein-Westfalen
118,Immanuel Klinik Rüdersdorf,52.4546198,13.7729168,immanuel.de,www.immanuel.de,Seebad,15562,Rüdersdorf bei Berlin,Brandenburg
119,Evangelisches Krankenhaus Paul-Gerhardt-Stift,52.5625389,13.1560605,pgdiakonie.de,www.pgdiakonie.de,Paul-Gerhardt-Straße,06886,Lutherstadt Wittenberg,Sachsen-Anhalt
120,Regio Kliniken GmbH,53.6540488,9.81189,sana.de,www.sana.de/regiokliniken,Fahltskamp,25421,Pinneberg,Schleswig-Holstein
121,Medical Park Bad Camberg,50.2974825,8.2828246,medicalpark.de,www.medicalpark.de,Obertorstraße,65520,Bad Camberg,Hessen
122,Klinikum Bayreuth GmbH,49.9435669,11.5323759,klinikum-bayreuth.de,www.klinikum-bayreuth.de,Hohe Warte,95445,Bayreuth,Bayern
123,Helios Klinikum Schwelm GmbH,51.2937271,7.3123069,helios-gesundheit.de,www.helios-gesundheit.de/kliniken/schwelm,Dr.-Moeller-Straße,58332,Schwelm,Nordrhein-Westfalen
124,Kreiskrankenhaus Greiz GmbH,50.6628684,12.1990258,hospital-greiz.de,www.kreiskrankenhaus-greiz.de,Wichmannstraße,07973,Greiz,Thüringen
125,St. Vinzenz Klinik Pfronten im Allgäu GmbH,47.5843258,10.5560213,vinzenz-klinik.de,,Kirchenweg,87459,Pfronten,Bayern
126,Marien-Hospital Euskirchen GmbH,50.6424263,6.7910058,marien-hospital.com,www.marien-hospital.com,Gottfried-Disse-Straße,53879,Euskirchen,Nordrhein-Westfalen
127,Kliniken an der Paar Krankenhaus Friedberg,48.3564008,10.9863269,klipa.de,www.klipa.de,Herrgottsruhstr.,86316,Friedberg,Bayern
128,Klinikum Bayreuth GmbH,49.9684122,11.5839674,klinikum-bayreuth.de,www.klinikum-bayreuth.de,Hohe Warte,95445,Bayreuth,Bayern
129,Klinikum Wolfsburg,52.4135714,10.7683863,wolfsburg.de,www.klinikum-wolfsburg.de,Sauerbruchstraße,38440,Wolfsburg,Niedersachsen
130,Universitätsklinikum Heidelberg,49.4130517,8.6696257,uni-heidelberg.de,www.klinikum.uni-heidelberg.de,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
131,Kreiskrankenhaus Wolgast,54.0523505,13.7659644,kreiskrankenhaus-wolgast.de,www.kreiskrankenhaus-wolgast.de,Chausseestraße,17438,Wolgast,Mecklenburg-Vorpommern
132,Klinikum Magdeburg gGmbH,52.157752,11.5817958,klinikum-magdeburg.de,www.klinikum-magdeburg.de,Birkenallee,39130,Magdeburg,Sachsen-Anhalt
133,Nierenzentrum Heidelberg,49.4141468,8.665817,nierenzentrum-heidelberg.com,www.nierenzentrum-heidelberg.com,Im Neuenheimer Feld,69120,Heidelberg,Baden-Württemberg
134,Diakonissen-Stiftungs-Krankenhaus Speyer,49.3109941,8.4346812,diakonissen.de,www.diakonissen.de,Paul-Egell-Straße,67346,Speyer,Rheinland-Pfalz
135,Kliniken des Landkreises Bamberg,49.978936,11.0379438,gkg-bamberg.de,www.juraklinik-schesslitz.de,Am Eichelberg,96138,Burgebrach,Bayern
136,MEDIAN Klinik Berus,51.099723,6.8161483,median-kliniken.de,https://www.median-kliniken.de/de/median-zentrum-berus/,Orannastraße,66802,Überherrn-Berus,Saarland
137,Ev. Krankenhaus Mettmann GmbH,51.2505231,6.9698152,evk-mettmann.de,www.evk-mettmann.de,Gartenstraße,40822,Mettmann,Nordrhein-Westfalen
138,"Martin-Luther-Universität Halle-Wittenberg, Universitätsklinikum Halle (Saale)",51.5017665,11.936832,uni-halle.de,www.medizin.uni-halle.de,Ernst-Grube-Straße,06120,Halle (Saale),Sachsen-Anhalt
139,Sana Kliniken Lübeck GmbH,53.8487442,10.6891488,sana.de,www.sana.de/luebeck,Am Dreilingsberg,23570,Lübeck,Schleswig-Holstein
140,GPR Klinikum Rüsselsheim,49.9828613,8.4251799,gp-ruesselsheim.de,www.gp-ruesselsheim.de,August-Bebel-Straße,65428,Rüsselsheim,Hessen
141,Klinikum Nordfriesland gGmbH - Klinik Husum und Klinik Niebüll,54.4833158,9.050167,klinikum-nf.de,www.klinikum-nf.de/kliniken-praxen/,Erichsenweg,25813,Husum,Schleswig-Holstein
142,Kliniken Dr. Erler gGmbH Fachkrankenhaus für Orthopädie und Chirurgie,49.453782,11.0676359,erler-klinik.de,www.erler-klinik.de,Kontumazgarten,90429,Nürnberg,Bayern
143,Klinikum Esslingen,48.7374468,9.3263819,klinikum-esslingen.de,www.klinikum-esslingen.de,Hirschlandstraße,73730,Esslingen am Neckar,Baden-Württemberg
144,Gesundheitszentrum Bitterfeld/Wolfen gGmbH,51.6338047,12.3338957,gzbiwo.de,www.gzbiwo.de,Friedrich-Ludwig-Jahn-Straße,06749,Bitterfeld,Sachsen-Anhalt
145,Oberberg Fachklinik Rhein-Jura,52.4986248,13.333455,oberbergkliniken.de,www.oberbergkliniken.de,Schneckenhalde,79713,Bad Säckingen,Baden-Württemberg
146,Klinikum Peine gGmbH,52.3013824,10.2390635,klinikum-peine.de,www.klinikum-peine.de,Virchowstraße,31226,Peine,Niedersachsen
147,Lungenklinik Neustadt,51.5601724,10.8401532,doceins.de,www.doceins.de/neustadt/,Badestraße,99768,Harztor-Neustadt,Thüringen
148,St. Georg Klinikum Eisenach gGmbH,50.9885958,10.316079,stgeorgklinikum.de,www.stgeorgklinikum.de,Mühlhäuser Straße,99817,Eisenach,Thüringen
149,Bezirksklinikum Regensburg,48.9979343,12.08788,medbo.de,www.medbo.de,Universitätsstr.,93053,Regensburg,Bayern
150,Krankenhaus Vilsbiburg,48.4449008,12.3602427,lakumed.de,www.lakumed/vilsbiburg.de,Krankenhausstr.,84137,Vilsbiburg,Bayern
151,Zentrum für Psychiatrie Emmendingen,48.1153595,7.8685622,zfp-emmendingen.de,www.zfp-emmendingen.de,Kartäuserstraße,79102,Freiburg im Breisgau,Baden-Württemberg
152,Psychiatrisches Zentrum Nordbaden Zentrum für Psychiatrie Wiesloch,49.3035368,8.7066767,pzn-wiesloch.de,www.pzn-wiesloch.de,Heidelberger Straße,69168,Wiesloch,Baden-Württemberg
153,Städtisches Klinikum Braunschweig,52.2379093,10.5476076,klinikum-braunschweig.de,www.klinikum-braunschweig.de,Salzdahlumer Straße,38126,Braunschweig,Niedersachsen
154,Bezirksklinikum Obermain,50.0494937,10.9712418,gebo-med.de,www.gebo-med.de/bezirksklinikum-obermain,Gustav-Hirschfeld-Ring,96450,Coburg,Bayern
155,Universitätsklinikum Köln AöR,50.9251984,6.919302,uk-koeln.de,www.uk-koeln.de,Buchforststraße,51103,Köln,Nordrhein-Westfalen
156,Bergmannsheil und Kinderklinik Buer gGmbH,51.5707569,7.0606777,bergmannsheil-buer.de,www.bergmannsheil-buer.de,Schernerweg,45894,Gelsenkirchen,Nordrhein-Westfalen
157,KRH-Klinikum Robert Koch Gehrden,52.3040407,9.5978338,krh.eu,www.krh.eu,Von-Reden-Straße,30989,Gehrden,Niedersachsen
158,KRH-Klinikum Nordstadt,52.3801602,9.9838359,krh.de,www.krh.de,Haltenhoffstraße,30167,Hannover,Niedersachsen
159,Helios Klinikum Erfurt GmbH,50.9926769,11.0130251,helios-gesundheit.de,www.helios-gesundheit.de/standorte-angebote/kliniken/erfurt/,Nordhäuser Straße,99089,Erfurt,Thüringen
160,Städtisches Klinikum Lüneburg gGmbH,53.2402005,10.3952503,klinikum-lueneburg.de,www.klinikum-lueneburg.de,Bögelstraße,21339,Lüneburg,Niedersachsen
161,AGAPLESION Diakonieklinikum Rotenburg gGmbH,53.10524,9.4134232,diako-online.de,www.diako-online.de,Elise-Averdieck-Straße,27356,Rotenburg (Wümme),Niedersachsen
